Feature ID	Taxon	Confidence
d85c50e29b7cb7f02b5d16aef24f80ba	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Dissoconiaceae;g__Uwebraunia;s__Uwebraunia_communis	0.7773829529516201
fb2f60f1d543614079af702ed6f3d1c5	k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Sporidiobolaceae;g__Rhodotorula;s__Rhodotorula_babjevae	0.998629315417172
1feb7a08cdb05c8fcf3612e70bfbba47	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Aureobasidiaceae	0.9249644680539363
b961df33fadc1345cff8d07f229b4b86	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae;g__Filobasidium;s__Filobasidium_wieringae	0.9999485529352115
b6c4442c8e212a9013fe8949e0688918	k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Sporidiobolaceae;g__Rhodotorula;s__Rhodotorula_babjevae	0.9986293190962864
0cefadd953be1df96a4278630243a866	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Epicoccum;s__Epicoccum_dendrobii	0.9085033915605807
e4f327c03599a4831eb5b0bbbefc96f1	k__Fungi;p__Basidiomycota	0.78796749712991
24827800a41aaef7cf220b0f4ce8eef4	k__Fungi	1.0000000000000073
4d377c845a0618d13d9f2ff8a4a03460	k__Fungi	1.00000000000001
62189f4d3f699e4b2148b61b13ed878a	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Epicoccum;s__Epicoccum_dendrobii	0.9105203515383884
57adbc188288aa03bfe94ffc05148241	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Dissoconiaceae;g__Uwebraunia;s__Uwebraunia_dekkeri	0.9873392136084153
c48abcdd52fa9e03fda1f0bd23e5a310	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Rhynchogastremataceae;g__Papiliotrema	0.9959174104655317
6d82ff1d96c168777e463e80ad5da13d	k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes;o__Cystobasidiomycetes_ord_Incertae_sedis;f__Symmetrosporaceae;g__Symmetrospora;s__Symmetrospora_sp	0.9793555866434128
568ccaa0f07f30c5fa463a317afb2b33	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria	0.9999948791462544
f196b0474df9b2860766bfa9c7316505	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Thelebolales;f__Pseudeurotiaceae;g__unidentified;s__unidentified	0.9872276922644435
6d509c5ec286ef3f22353a0c49ef8021	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Thelebolales;f__Pseudeurotiaceae;g__unidentified;s__unidentified	0.9858522819927892
1350d604312afd49ad62de172faa0b3a	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria	0.9999801080268326
9b4b5613e081a7e9034439e6e723388a	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Didymella	0.8802678785246433
07b1b80736599ba19bc81f5265842e9a	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Trichosphaeriales;f__Trichosphaeriaceae;g__Nigrospora	0.9999734291102788
ebd2ebd04c21839c31a81cd0449b86cc	k__Fungi	0.9999999999999907
eed267b0aac52fe2d273805d97a6a05b	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Epicoccum;s__Epicoccum_dendrobii	0.9944812857025451
943cc20224dfdeedbcc4a49ba4a64f3d	k__Fungi;p__Ascomycota;c__Taphrinomycetes;o__Taphrinales;f__Taphrinaceae;g__Taphrina;s__Taphrina_inositophila	0.9938218977099228
3ec3204b8a17260cc07bfeeebb237f77	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae	0.9940246180635632
5a9abf911a87196037c7f1ee033f65f0	k__Fungi;p__Basidiomycota	0.867541042820763
6e80be561bc58bdb7855b52a9c7622b4	k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes;o__Erythrobasidiales;f__Erythrobasidiaceae;g__Bannoa;s__Bannoa_ogasawarensis	0.8093873923280959
9bad1f9d4ab04884f59143d1da7af0b4	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Epicoccum;s__Epicoccum_dendrobii	0.9104416925376851
8f6dfbab3f8bc2bad8f2fc740f69abf0	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Trichosphaeriales;f__Trichosphaeriaceae;g__Nigrospora;s__Nigrospora_oryzae	0.7841857911448474
d74bcaeaabc9145c420527dc4751f639	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Sclerostagonospora;s__Sclerostagonospora_rosae	0.8587171661239477
8d3e2ea5e2f05699f0b7f21faedf5e09	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria	0.9999853177027003
b12c82d31f291a52357121838f218ad5	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Didymella	0.9528573650399482
0b6d2f36ac3d7d16073bd60a2f090799	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Didymella;s__Didymella_negriana	0.7238614888957832
f65648c1288cfa5fc78b01b18c1b8961	k__Fungi;p__Ascomycota;c__Taphrinomycetes;o__Taphrinales;f__Taphrinaceae;g__Taphrina;s__Taphrina_inositophila	0.7292211988088229
91a32d58b674ea8cd72c5d2365d3fae5	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae	0.9943651692372316
1fa44a21feb4eb8ae4d212d289883174	k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes;o__Cystobasidiomycetes_ord_Incertae_sedis;f__Symmetrosporaceae;g__Symmetrospora;s__Symmetrospora_sp	0.9794592700269438
1631ac53c2d20ebe59906abb8c6e1c0e	k__Fungi	0.9999999999999989
81d643161cdcbdc8544d770a081fefe0	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae;g__Filobasidium;s__Filobasidium_wieringae	0.9999908263811359
2b21f253c09a5c877fdbf54c15795f23	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Hannaella;s__Hannaella_zeae	0.9811477136567391
7ac38a72b03999704b184da537fbd650	k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes;o__Erythrobasidiales;f__Erythrobasidiaceae;g__Bannoa;s__Bannoa_hahajimensis	0.9397825270646579
801b4634c6a3cc0a717719c45010b338	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Didymella	0.9882712068701808
c9ad32e4f53412a0cd40e4057ad5667e	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Trichomeriaceae	0.9999869548435387
2b381b95751153a2fa5ae43e49c558cd	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Aureobasidiaceae	0.9244526273011874
75da6224892a2c546b403cbfc64df6a7	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Lophiostomataceae;g__Lophiostoma	0.7774797834267073
970d4d579e459d7fbb319c19ccbee0a2	k__Fungi	0.9999999999999885
06310cc60b6a617ffdeadbbc6ef95913	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Rhynchogastremataceae;g__Papiliotrema;s__Papiliotrema_japonica	0.8688188231008596
71f94e025974cfeb7d51d13a38776508	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Trichosphaeriales;f__Trichosphaeriaceae;g__Nigrospora	0.9999876594505113
aa6fad2295f4530920dc110e6068861d	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Sphaerulina	0.7441669582466246
0fdb1a651f791ad30a22c745706ea82f	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae	0.9888087394760638
2babf82b0213fd88718fe3bc579c0be4	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Chaetothyriales_fam_Incertae_sedis;g__Strelitziana;s__Strelitziana_albiziae	0.9998739476766345
440892b1075511e69298346af5956a80	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae;g__Filobasidium;s__Filobasidium_wieringae	0.9999748951687965
0764d524c2fd39339f5e0bff74f5b642	k__Fungi	0.9999999999999987
fdc869272256154c34eb134da8771273	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Rachicladosporium;s__Rachicladosporium_cboliae	0.9999873463352543
194eeac3549e1cfc6d74cebefa39825a	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Trichomeriaceae;g__Trichomerium;s__Trichomerium_foliicola	0.8314207262125515
69e31fbb441975b95ecb26cceaf74e2d	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Sporocadaceae;g__Seiridium;s__Seiridium_rosarum	0.995171284433095
707b3b9dcb16925cceff4b269f086703	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales	0.9999999977306152
3b119a7261fab7a284258a02259f4671	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Rhynchogastremataceae;g__Papiliotrema	0.9945063916746446
17980334a2fe4187ac635507c9ae5d5c	k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes;o__Cystobasidiomycetes_ord_Incertae_sedis;f__Symmetrosporaceae;g__Symmetrospora;s__Symmetrospora_oryzicola	0.9648336939002379
43d4b4b34d1c10eddbc340cc57008059	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Epicoccum;s__Epicoccum_dendrobii	0.9140507640357703
b1796fb8b3e558bfed768339243c12f3	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Aureobasidiaceae	0.9255281330625423
6172d3b9bae22a4521d8e699bcf5ae4a	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Aureobasidiaceae	0.9284541731188292
99f59e4f02de3d9476573e2ae24a6469	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Vishniacozyma;s__Vishniacozyma_carnescens	0.9988500957025745
7a85e93658cb07c161352d02644efbfb	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Neosetophoma	0.9999580880164892
